node_id,category
1,pop
2,indie
3,pop
4,indie
5,indie
6,rock
7,pop
8,indie
9,rock
10,rock
11,indie
12,rock
13,pop
14,indie
15,rock
16,pop
17,indie
18,rock
19,indie
20,pop
21,rock
22,rock
23,pop
24,pop
25,pop
26,pop
27,pop
28,rock
29,indie
30,rock
31,indie
32,rock
33,rock
34,indie
35,indie
36,rock
37,rock
38,indie
39,rock
40,indie
41,rock
42,pop
43,indie
44,pop
45,indie
46,rock
47,indie
48,pop
49,pop
50,rock
51,indie
52,rock
53,rock
54,rock
55,pop
56,pop
57,indie
58,indie
59,pop
60,indie
61,rock
62,indie
63,pop
64,pop
65,indie
66,rock
67,pop
68,indie
69,indie
70,rock
71,indie
72,indie
73,rock
74,rock
75,indie
76,indie
77,indie
78,rock
79,indie
80,pop
81,indie
82,indie
83,indie
84,indie
85,pop
86,pop
87,pop
88,pop
89,indie
90,pop
91,pop
92,pop
93,rock
94,rock
95,pop
96,pop
97,rock
98,indie
99,indie
100,indie
101,rock
102,pop
103,pop
104,rock
105,rock
106,rock
107,indie
108,rock
109,rock
110,pop
111,rock
112,pop
113,indie
114,pop
115,rock
116,rock
117,pop
118,indie
119,rock
120,pop
121,rock
122,rock
123,pop
124,indie
125,rock
126,rock
127,pop
128,rock
129,indie
130,pop
131,indie
132,pop
133,indie
134,rock
135,pop
136,rock
137,rock
138,rock
139,indie
140,indie
141,pop
142,rock
143,indie
144,pop
145,pop
146,indie
147,rock
148,indie
149,indie
150,rock
151,pop
152,indie
153,rock
154,rock
155,indie
156,indie
157,rock
158,pop
159,pop
160,rock
161,indie
162,indie
163,pop
164,pop
165,indie
166,pop
167,pop
168,rock
169,indie
170,rock
171,pop
172,indie
173,pop
174,rock
175,indie
176,indie
177,rock
178,pop
179,rock
180,indie
181,rock
182,indie
183,pop
184,rock
185,pop
186,indie
187,pop
188,indie
189,pop
190,pop
191,rock
192,pop
193,pop
194,pop
195,pop
196,pop
197,pop
198,indie
199,rock
200,rock
201,rock
202,rock
203,rock
204,indie
205,indie
206,indie
207,indie
208,pop
209,rock
210,rock
211,rock
212,indie
213,pop
214,rock
215,pop
216,indie
217,rock
218,rock
219,pop
220,rock
221,indie
222,indie
223,indie
224,rock
225,indie
226,indie
227,indie
228,indie
229,pop
230,pop
231,indie
232,pop
233,pop
234,indie
235,indie
236,pop
237,rock
238,rock
239,indie
240,rock
241,rock
242,indie
243,rock
244,pop
245,rock
246,indie
247,indie
248,rock
249,indie
250,indie
251,pop
252,pop
253,indie
254,pop
255,indie
256,rock
257,indie
258,indie
259,indie
260,indie
261,pop
262,indie
263,rock
264,rock
265,indie
266,pop
267,indie
268,rock
269,pop
270,indie
271,pop
272,rock
273,pop
274,indie
275,rock
276,indie
277,pop
278,pop
279,rock
280,indie
281,rock
282,indie
283,indie
284,rock
285,rock
286,pop
287,pop
288,rock
289,indie
290,indie
291,rock
292,rock
293,rock
294,pop
295,pop
296,rock
297,indie
298,pop
299,rock
300,pop
301,pop
302,pop
303,rock
304,indie
305,indie
306,pop
307,indie
308,rock
309,pop
310,rock
311,rock
312,pop
313,pop
314,rock
315,pop
316,indie
317,indie
318,indie
319,pop
320,pop
321,rock
322,pop
323,pop
324,indie
325,indie
326,indie
327,pop
328,pop
329,rock
330,pop
331,indie
332,indie
333,indie
334,pop
335,indie
336,rock
337,indie
338,rock
339,indie
340,indie
341,indie
342,indie
343,pop
344,rock
345,pop
346,indie
347,pop
348,rock
349,indie
350,rock
351,indie
352,indie
353,rock
354,indie
355,indie
356,pop
357,rock
358,rock
359,pop
360,pop
361,indie
362,rock
363,pop
364,rock
365,rock
366,indie
367,rock
368,indie
369,pop
370,pop
371,pop
372,pop
373,pop
374,pop
375,indie
376,pop
377,indie
378,rock
379,indie
380,indie
381,rock
382,rock
383,indie
384,indie
385,indie
386,indie
387,rock
388,rock
389,indie
390,pop
391,rock
392,indie
393,indie
394,rock
395,indie
396,rock
397,indie
398,indie
399,rock
400,rock
401,indie
402,pop
403,pop
404,pop
405,pop
406,pop
407,pop
408,rock
409,pop
410,pop
411,indie
412,pop
413,indie
414,rock
415,indie
416,rock
417,rock
418,pop
419,rock
420,rock
421,rock
422,rock
423,pop
424,pop
425,pop
426,indie
427,indie
428,indie
429,indie
430,rock
431,pop
432,pop
433,rock
434,indie
435,pop
436,indie
437,indie
438,rock
439,pop
440,rock
441,rock
442,rock
443,rock
444,pop
445,rock
446,indie
447,pop
448,pop
449,pop
450,pop
451,indie
452,pop
453,indie
454,indie
455,rock
456,pop
457,rock
458,indie
459,indie
460,indie
461,indie
462,rock
463,pop
464,indie
465,rock
466,indie
467,indie
468,pop
469,pop
470,rock
471,pop
472,pop
473,pop
474,pop
475,rock
476,rock
477,rock
478,pop
479,rock
480,indie
481,pop
482,rock
483,rock
484,indie
485,pop
486,pop
487,indie
488,pop
489,indie
490,rock
491,pop
492,indie
493,rock
494,indie
495,rock
496,pop
497,indie
498,pop
499,rock
500,rock
